url,obraz,nazwa,cena,rok,przebieg,pojemnosc,rodzaj
https://www.otomoto.pl/oferta/audi-a4-ladne-audi-a4-b8-ID6Fs6qS.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImVldmc1NHJyajE3MzEtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.fVgSAsZnkME6wuxRcEQxMd_BlejAPeNNFY31XPHgmx8/image%3Bs=320x240,Audi A4 1.8 TFSI,31 250 PLN,2008,243 000 km,1 798 cm3,Benzyna
https://www.otomoto.pl/oferta/audi-a4-quattro-alu-navi-bogate-wyposazenie-ID6FsLDv.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InRjaDVhdTE1N3c4Yy1PVE9NT1RPUEwiLCJ3IjpbeyJmbiI6IndnNGducXA2eTFmLU9UT01PVE9QTCIsInMiOiIxNiIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.t5zqh9L4R1HABwndesLTML_iuvTw6jaOeoW-0F05W3A/image%3Bs=320x240,Audi A4 Avant 2.0T FSI Quattro,16 500 PLN,2006,239 000 km,1 984 cm3,Benzyna
https://www.otomoto.pl/oferta/audi-a3-audi-a3-sportback-8p-lift-s-line-ambition-2008-benzyna-1-8-tfsi-ID6FrTSx.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjQzOG4wYzZhdXFyYzItT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.SEwqRR44X63OH8Hqoqkw6kZW-0LLwt25jIn7-mzZiuc/image%3Bs=320x240,Audi A3 1.8 TFSI Sportback Ambition,20 000 PLN,2008,293 000 km,1 798 cm3,Benzyna
https://www.otomoto.pl/oferta/audi-a6-audi-a6-c6-s-line-3-0-tdi-quattro-ID6Fmhxg.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InNydnprdG5td3ZxZDItT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.YLgIWhe81-gLKmKLA0vqmxDW8cbJO1b9uszPRSQOJZA/image%3Bs=320x240,Audi A6 3.0 TDI Quattro,26 000 PLN,2007,320 000 km,2 967 cm3,Diesel
https://www.otomoto.pl/oferta/audi-a8-sprzedam-audi-a8-d3-ID6Fs9pq.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImR2cTcxNzZiZXEyeDEtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.zqFsQF3UxN2N381vHzz8ADuvPak7VMTccRrJA-C-xOU/image%3Bs=320x240,Audi A8 4.2 TDI Quattro,37 000 PLN,2008,407 547 km,4 134 cm3,Diesel
https://www.otomoto.pl/oferta/audi-q7-s-line-ID6Fs9ID.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjMwZXQxNzg3cno5NzEtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.xy72j2Il_djdtlZxV5E4aDzRwqv1SY8lmwSu2BX0sHI/image%3Bs=320x240,Audi Q7 4.2 TDI Quattro Tiptr,34 900 PLN,2007,347 000 km,4 134 cm3,Diesel
https://www.otomoto.pl/oferta/audi-a4-navi-tempomat-klimatronic-elektryka-okazja-ID6Fsujh.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ind5Y256b2t5YXk5czEtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.CQbeX53ju_v7f8kjKmO4XpcCyphUHBFXvW46gKVPhAU/image%3Bs=320x240,Audi A4 2.0 TDI,16 850 PLN,2005,226 500 km,1 968 cm3,Diesel
https://www.otomoto.pl/oferta/audi-a4-audi-a4-b7-s-line-ID6Fswzc.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImwzbW9iMTBqa2Z4czItT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.-zGQ8-RBfzz3YaeO2H96D-LhM-IZB84wTSGY4pUxOmg/image%3Bs=320x240,Audi A4 2.0T FSI,21 500 PLN,2005,236 628 km,1 984 cm3,Benzyna
https://www.otomoto.pl/oferta/audi-a3-1-6-mpi-102-konie-alu-17-cali-tempomat-ID6FrC0H.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjUxbmY2aHJsNWJoei1PVE9NT1RPUEwiLCJ3IjpbeyJmbiI6IndnNGducXA2eTFmLU9UT01PVE9QTCIsInMiOiIxNiIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.UeAg_4lKWxpPrdwr6okNi0jdwDZ0J_XAG6CEiUHcj6k/image%3Bs=320x240,Audi A3 1.6 Sportback Ambiente,22 900 PLN,2006,230 000 km,1 595 cm3,Benzyna
https://www.otomoto.pl/oferta/audi-a6-audi-a6-c6-2-7-tdi-180km-2006r-ID6FsEmr.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InhvbG1nczNraGFsOC1PVE9NT1RPUEwiLCJ3IjpbeyJmbiI6IndnNGducXA2eTFmLU9UT01PVE9QTCIsInMiOiIxNiIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.HN4fGYsa5XnPgyiE2BJumVqNp6xYTHnCKMUxlahEPes/image%3Bs=320x240,Audi A6 2.7 TDI,22 000 PLN,2006,259 600 km,2 698 cm3,Diesel
